State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Tamil Nadu",Madurai,"Palanganatham(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2400,2600,2500
"Tamil Nadu",Thiruchirappalli,"Thuraiyur APMC",Tomato,Local,Local,10/09/2026,3000,3000,3000
"Tamil Nadu",Salem,"Thammampatti (Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2000,2800,2400
"Tamil Nadu",Thirunelveli,"NGO Colony(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2600,2800,2700
"Tamil Nadu",Thirupur,"Kangayam(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2000,2200,2100
"Tamil Nadu",Thiruvannamalai,"Keelpennathur(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,3000,3500,3250
"Tamil Nadu",Thiruvannamalai,"Vandavasi(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2000,2500,2250
"Tamil Nadu",Theni,"Devaram(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2400,2400,2400
"Tamil Nadu",Salem,"Elampillai(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2400,2800,2600
"Tamil Nadu",Salem,"Jalagandapuram(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2000,2400,2200
"Tamil Nadu",Sivaganga,"Singampunari(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2600,2800,2700
"Tamil Nadu",Sivaganga,"Tirupatthur(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2800,3000,2900
"Tamil Nadu",Virudhunagar,"Thalavaipuram(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2500,3000,2750
"Tamil Nadu",Villupuram,"Ulundurpettai APMC",Tomato,Deshi,Local,10/09/2026,2500,2500,2500
"Tamil Nadu","The Nilgiris","Udhagamandalam(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2500,2800,2650
"Tamil Nadu",Madurai,"Melur(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2400,2600,2500
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Tomato,Deshi,Local,10/09/2026,1500,1800,1650
"Tamil Nadu",Karur,"Kulithalai(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2800,3000,2900
"Tamil Nadu",Theni,"Periyakulam(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2000,2500,2250
"Tamil Nadu",Erode,"Sampath Nagar(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2200,2600,2400
"Tamil Nadu",Thiruvannamalai,"Arani(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2000,2500,2250
"Tamil Nadu",Thiruvannamalai,"Polur(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2000,2500,2250
"Tamil Nadu",Tuticorin,"Kovilpatti(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2500,3000,2750
"Tamil Nadu",Vellore,"Gudiyatham(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2400,2400,2400
"Tamil Nadu",Thiruvannamalai,"Cheyyar(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2000,2500,2250
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2500,2700,2600
"Tamil Nadu",Coimbatore,"Kurichi(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2500,3000,2750
"Tamil Nadu",Chengalpattu,"Thirukalukundram(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2500,3000,2750
"Tamil Nadu",Vellore,"Vellore APMC",Tomato,Deshi,Local,10/09/2026,2400,2600,2500
"Tamil Nadu",Krishnagiri,"Kaveripattinam(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,3000,3000,3000
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Tomato,Local,Local,10/09/2026,2300,2500,2400
"Tamil Nadu",Thanjavur,"Tirukattupalli(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2800,2800,2800
"Tamil Nadu",Ranipet,"Arcot(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2400,2400,2400
"Tamil Nadu",Salem,"Sooramangalam(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2600,2800,2700
"Tamil Nadu",Salem,"Thathakapatti(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2400,2800,2600
"Tamil Nadu",Theni,"Kambam(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2400,2500,2450
"Tamil Nadu",Thiruvannamalai,"Tamarainagar(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2000,2500,2250
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2500,3000,2750
